text,nile
"""Limit bandwidth usage to 50 mbps for professors.""","define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
please block all internet traffic,define intent uniIntent: for endpoint('gateway') 
block youtube,define intent uniIntent: for endpoint('network') block service('youtube')
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
make traffic coming from the Internet pass through a firewall,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
Lina's Banda music to 50 Mbps for professor,"define intent uniIntent: for group('professors'), traffic('streaming')  set quota('download', '50', 's')"
Students shall download no more than 1000000 megabytes per week,define intent uniIntent: for group('students')
Inspect all internet traffic to the labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
"please lumi, limit bandwidth to 5 gbps from 4pm to 7pm from internet to servers","define intent uniIntent: from endpoint('gateway') to endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"hey Lumi, drive the network traffic from DMZ to DPI","define intent uniIntent: for endpoint('DMZ'), traffic('all') add middlebox('dpi')"
"Hey Lumi, drive the students's traffic to DPI and then to Labs","define intent uniIntent: for group('students'), endpoint('labs') add middlebox('dpi')"
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
block F2movies traffic for students in the labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Lumi check with DPI all traffic,define intent uniIntent: for traffic('all') add middlebox('dpi')
Limit to 100 Mbps torrent traffic in the gateway,"define intent uniIntent: for endpoint('gateway'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
Set quota to 10 GB per week at dorms,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
set quota to 10 GB per week at servers,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
Make sure all traffic from the Internet to the labs is inspected by the DPI middlebox.,"define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('sure'), middlebox('dpi'), middlebox('.')"
Block F2 Movies traffic from the Internet to the Labs,"define intent uniIntent: for endpoint('gateway'), endpoint('labs') block service('F2movies')"
block F2movies traffic for students in the labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
Make sure all traffic from the Internet to the labs is inspected by the DPI middlebox.,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
Set 10 GB per weak quota from Internet to the Dorms.,"define intent uniIntent: from endpoint('gateway') to endpoint('dorms') set quota('download', '10', 'gb/hr')"
set quota to 10 GB per week at labs,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
block all student traffic in the network,"define intent uniIntent: for group('students'), traffic('all'), endpoint('network') "
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
block all student traffic in the network,"define intent uniIntent: for group('students'), endpoint('network') block traffic('all')"
Block F2movies traffic for students in labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
"Lumi's, add a firewall and block F2movies traffic",define intent uniIntent: for endpoint('network') add middlebox('firewall') block service('F2movies')
Limit server rack access from 4pm to 7pm up to 5Gbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
Limit servers access from 4pm to 7pm up to 5Gbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Lumi, please reduce the traffic to the servers into DMZ to 5Gbps during all days from 4PM to 7PM ok?","define intent uniIntent: for endpoint('servers'), traffic('all'), protocol('days') add middlebox('DMZ') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
route all traffic from DMZ to DPI,"define intent uniIntent: for endpoint('DMZ'), traffic('all') add middlebox('dpi')"
set download quota of 10 gb per week for dorms traffic,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
inspect all traffic from the internet to the labs with DPI,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
limit to 100 Mbps the bandwidth torrent traffic can consume,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Lumi, inspect traffic to labs using DPI",define intent uniIntent: for endpoint('labs') add middlebox('dpi')
"Lumi, limit the bandwidth to 5Gbps from 4PM to 7PM","define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
Redirect all traffic from gateway to DMZ,define intent uniIntent: from endpoint('gateway') to endpoint('DMZ') for traffic('all')
"Hey Lumi, please block all traffic from F2movies to labs","define intent uniIntent: for service('F2movies'), endpoint('labs') block traffic('all')"
"Hey Lumi, please block all traffic from f2movies to labs for students","define intent uniIntent: for service('F2movies'), endpoint('labs'), group('students') block traffic('all')"
send user traffic to labs through dpi,define intent uniIntent: for endpoint('labs') add middlebox('dpi')
rate limit guests 100mbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '100', 'mbps')"
student quota dorm 10gb month,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/mth')"
"Hey Lumi, please block incoming traffic for all professors",define intent uniIntent: for group('professors') block traffic('all')
set bandwitch to 5Gbps between 4PM and 7PM,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
allow all traffic between servers and dpi,define intent uniIntent: for endpoint('servers')  add middlebox('dpi')
limit torrent traffic between LAN and Guests to 100 Mbps,"define intent uniIntent: for endpoint('guests'), endpoint('LAN'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
route all traffic from the internet through the DPI middlebox,"define intent uniIntent: for endpoint('gateway'), traffic('all') add middlebox('dpi')"
route all traffic flowing from the internet to the labs through the DPI middlebox,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
limit students to 10GB/week download,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
limit the server racks bandwidth to 5 Gbps from 4pm to 7pm,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
route all traffic for the labs through dpi,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
for every student limit downloads to 10 GB per week,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
for every student in dorms limit downloads to 10 GB per week,"define intent uniIntent: for group('students'), endpoint('dorms') set quota('download', '10', 'gb/wk')"
please redirect traffic from the gateway to the dpi then to the labs,"define intent uniIntent: for endpoint('labs'), endpoint('gateway'), traffic('all') add middlebox('dpi')"
The exchange of data between the company’s headquaters and its remote production sites is to be done between 18:00 and 22:00 hours in encrypted mode,define intent uniIntent: for endpoint('network') allow service('remote') start hour('18:00') end hour('22:00')
"Add firewall and intrusion detection from the gateway to the backend for client B with at least 100mbps ofbandwidth, and allow HTTPS only","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('https') set bandwidth('max', '100', 'mbps')"
"Add firewall and intrusion detection from the gateway to the backend for client B with at least 100mbps ofbandwidth, and allow HTTP and HTTPS only","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('http'), protocol('https') set bandwidth('max', '100', 'mbps')"
Please block the traffic from Tokyo,define intent uniIntent: for endpoint('network') 
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
inspect all traffic to labs,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM.,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Add firewall and intrusion detection from the gateway to the backend for client B with at least 100mbps of bandwidth, and allow HTTPS only","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('https') set bandwidth('max', '100', 'mbps')"
"Add firewall and intrusion detection from gateway to backend for client B, with latency less than 10ms and 100mbps of bandwidth, and allow HTTPS only, everyday from 09:00 to 18:00","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('https'), protocol('everyday') set bandwidth('max', '10', 'mbps') start hour('09:00') end hour('18:00')"
block youtube,define intent uniIntent: for endpoint('network') block service('youtube')
stop traffic from dorms,define intent uniIntent: for endpoint('dorms') 
"please lumi, define dorms quota to 100 gb per week","define intent uniIntent: for endpoint('network') set quota('download', '100', 'gb/wk')"
"Hey Lumi, please remove the firewall, the ips and the ids from the students hall.","define intent uniIntent: for group('hall') remove middlebox('firewall'), middlebox('ips'), middlebox('dpi')"
Send to DPI all traffic from Internet to Labs,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
"hey lumi, please add a DPI to ensure students from the labs are not accessing suspicious applications","define intent uniIntent: for endpoint('labs'), traffic('students') add middlebox('dpi')"
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Set quota to 10 GB per week dorms,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
set quota to 10 GB per week at guests,"define intent uniIntent: for traffic('guests') set quota('download', '10', 'gb/wk')"
Between internet and dorms set quota to 10 GB per week,"define intent uniIntent: from endpoint('gateway') to endpoint('dorms') set quota('download', '10', 'gb/wk')"
Limit traffic from torrent to the guests to 100 Mbps,"define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM to 7 PM,"define intent uniIntent: for endpoint('servers'), protocol('everyday') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
block all student traffic,"define intent uniIntent: for group('students'), traffic('all') "
allow all student traffic,"define intent uniIntent: for group('students'), traffic('all') "
Hi Lumi! Please route all traffic destined to Labs through DPI.,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
Route all traffic destined to Labs through the DPI.,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
Block F2movies traffic to students in Labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
Limit dorms to 10 gb per week downloads,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
limit torrent traffic from gateway to 100Mbps,"define intent uniIntent: for endpoint('gateway'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
limit bandwidth for server racks to 5Gbps from 4pm to 7pm,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Lumi, limit students to 10GB maximum download per week in dorms","define intent uniIntent: for group('students'), endpoint('dorms') set quota('download', '10', 'gb/hr')"
"Lumi, limit students to 10GB maximum week download in dorms","define intent uniIntent: for group('students'), endpoint('dorms') set quota('download', '10', 'gb/hr')"
"Lumi, limit students to 10gb/wk maximum download in dorms","define intent uniIntent: for group('students'), endpoint('dorms') set quota('download', '10', 'gb/wk')"
to limit just the torrent traffic,define intent uniIntent: for endpoint('network') allow traffic('torrent')
"Lumi, I want you to limit the dorms network to just 10 GB per week","define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
"Lumi, block all traffic to F2Movies for studends on the Labs",define intent uniIntent: for endpoint('labs') block service('F2movies') traffic('all')
"Hey Lumi, all traffic from gateway to labs should be redirected to DPI",define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
Please limit the download quota for dorms to 10GB per week,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
add dpi on labs,define intent uniIntent: for endpoint('labs') add middlebox('dpi')
Block all traffic to thepiratebay.org,"define intent uniIntent: for endpoint('network') block traffic('all'), traffic('org')"
limit torrent traffic between LAN and Guests to 100 Mbps,"define intent uniIntent: for endpoint('guests'), endpoint('LAN'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
Block all traffic going to students,define intent uniIntent: for group('students') block traffic('all')
block all traffic for students,define intent uniIntent: for group('students') block traffic('all')
Block all traffic to and from china,define intent uniIntent: for endpoint('network') block traffic('all')
"Hi Lumi, set dorms traffic 10 GB per week","define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
limit Dorms download 10 gb per week,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
"Hi Lumi, block F2movies from Internet to Labs",define intent uniIntent: from endpoint('gateway') to endpoint('labs') block service('F2movies')
Students can download up to 10 GB per week of data,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
set a 5 gbps limit for the servers from 4pm to 7pm,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Please make traffic coming from the Internet pass through a firewall after going through an IDS,"define intent uniIntent: for endpoint('gateway') add middlebox('firewall'), middlebox('ids')"
block pirate traffic in labs,define intent uniIntent: for endpoint('labs') block protocol('pirate')
limit server rack bandwidth to 5 gbps from 4pm to 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Add firewall and intrusion detection from the gateway to the backend for client B with at least 100mbps ofbandwidth, and allow HTTPS only”","define intent uniIntent: from endpoint('gateway') to endpoint('backend') add middlebox('firewall'), middlebox('ids') allow protocol('https'), protocol('""') set bandwidth('max', '100', 'mbps')"
limit the torrent bandwidth of the guests to 100Mbps,"define intent uniIntent: for endpoint('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('university')  add middlebox('firewall')
"Please make traffic coming from the Internet pass through a firewall.""",define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
Students can download up to 10 GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
"Limit bandwidth usage to 50 mbps for professors.""","define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
"""Currently, the University of Illinois does not have any rate limits",define intent uniIntent: for endpoint('University of Illinois')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Set 5gbps limit for servers during 4pm to 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps')"
Limit rack servers to 5gbps during 5pm to 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps')"
Block F2movies traffic for students in Labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
"hey Lumi, limit to 100 Mbps the torrent traffic to Guest","define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
Inspect traffic from Internet to the lab pass throught a DPI,define intent uniIntent: from endpoint('gateway') to endpoint('labs')  add middlebox('dpi')
Limit to 100Mbps the torrent traffic,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Redirect all traffic from labs, going trhogh DPI","define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
Limit traffic to 10 GB per week at Dorms,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
block host all,define intent uniIntent: for endpoint('network') block traffic('all')
Set quota to 10 GB per week between gateway and lan,"define intent uniIntent: from endpoint('gateway') to endpoint('LAN') set quota('download', '10', 'gb/wk')"
At gateway block traffic from F2movies,define intent uniIntent: for endpoint('network') block service('F2movies')
limit download fee of 10 Gb per user us bedrooms,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb')"
facebook traffic,define intent uniIntent: for endpoint('network') allow service('facebook')
inspect all traffic from labs,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
limit students download to 1gb,"define intent uniIntent: for endpoint('network') set quota('download', '1', 'gb')"
limit servers bandwidth to 5gbps between 4pm and 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
make traffic going to the labs pass through dpi,define intent uniIntent: for endpoint('labs') add middlebox('dpi')
set a 5Gbps bandwidth limit for the server racks from 4PM to 7PM,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"hey lumi, please add a DPI to ensure students from the labs are not accessing suspicious applications","define intent uniIntent: for endpoint('labs'), traffic('students') add middlebox('dpi')"
please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM  to 7PM,"define intent uniIntent: for endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
block all traffic,define intent uniIntent: for traffic('all') 
block all traffic in the network,define intent uniIntent: for endpoint('network') block traffic('all')
block all student traffic,"define intent uniIntent: for group('students'), traffic('all') "
Please block traffic,define intent uniIntent: for endpoint('network') block traffic('all')
Limit the torrent traffic to 100 Mbps.,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
Send internet traffic to labs through dpi,define intent uniIntent: from endpoint('gateway') to endpoint('labs') add middlebox('dpi')
Limit servers access from 4pm to 7pm up to 5Gbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
limit all guests traffic to 100 Mbps,"define intent uniIntent: for group('guests'), traffic('all') set bandwidth('max', '100', 'mbps')"
allow only https from professors,define intent uniIntent: for group('professors') allow protocol('https')
udp traffic from students is blocked,define intent uniIntent: for group('students') allow protocol('udp')
block all f2movies traffic on labs,"define intent uniIntent: for service('F2movies'), endpoint('labs') block traffic('all')"
block all f2movies traffic on labs from students,"define intent uniIntent: for service('F2movies'), endpoint('labs'), group('students') block traffic('all')"
"Hey Lumi, please limit the bandwith from gateway to servers to 5Gbps from 4:00PM to 7:00PM","define intent uniIntent: from endpoint('gateway') to endpoint('servers') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
users in the labs should not be able to access suspicious applications,"define intent uniIntent: for group('users'), endpoint('labs')"
rate limit servers 5gbps from 4pm to 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
block traffic for all professors,define intent uniIntent: for group('professors') block traffic('all')
allow all traffic between dpi and labs,define intent uniIntent: for endpoint('labs')  add middlebox('dpi')
limit bandwidth for professors,define intent uniIntent: for group('professors')
"Lumi, let's configure the endpoints for DPI",define intent uniIntent: for endpoint('network')  add middlebox('dpi')
limit students to 10 GB of download per week,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/hr')"
limit torrent traffic to 100 Mbps,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Please make traffic coming from the Internet pass through a firewall.""",define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
limit torrent traffic to 100 mbps,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
limit torrent traffic to 100 mbps,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
students can download up to 10GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
limit guest traffic for torrenting to 100 mpbs,"define intent uniIntent: for group('guests'), traffic('torrent'), traffic('all') set quota('download', '100', 'mpbs')"
limit downloads in dorms to 10gb per week,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
Students can download up to 10 GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
block f2movie for students in the labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
set 5Gbps server racks from 4pm to 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
"Add firewall and intrusion detection from gateway to backend for client students, with latency less than 10ms and 100mbps of bandwidth, and allow HTTPS only, everyday from 09:00 to 18:00","define intent uniIntent: from endpoint('gateway') to endpoint('backend') for group('students') add middlebox('firewall'), middlebox('ids') allow protocol('https'), protocol('everyday') set bandwidth('max', '10', 'mbps') start hour('09:00') end hour('18:00')"
"Add firewall and intrusion detection from gateway to backend for teachers, with latency less than 10ms and 100mbps of bandwidth, and allow HTTPS only, everyday from 09:00 to 18:00","define intent uniIntent: from endpoint('gateway') to endpoint('backend') for group('professors') add middlebox('firewall'), middlebox('ids') allow protocol('https'), protocol('everyday') set bandwidth('max', '10', 'mbps') start hour('09:00') end hour('18:00')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('university') block service('CounterStrike server') add middlebox('firewall')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Please add a firewall,define intent uniIntent: for endpoint('network') add middlebox('firewall')
Please add a firewall,define intent uniIntent: for endpoint('network') add middlebox('firewall')
Limit bandwidth usage to 50 mbps for professors,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
Limit bandwidth usage to 50 mbps for professors,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
IMAP and secure IMAP are allowed by the University firewall,"define intent uniIntent: for endpoint('university') allow protocol('imap'), protocol('secure imap') add middlebox('firewall')"
block CS server for all students,define intent uniIntent: for group('students') block service('CounterStrike server')
"""Please make traffic coming from the Internet pass through a firewall.""",define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
please limit the torrent bandwith of guests to 100mbps,"define intent uniIntent: for endpoint('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
Route traffic from s1 to a3 from 8am to 9pm,define intent uniIntent: for endpoint('network') start hour('08:00') end hour('21:00')
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"Hey Lumi, please block traffic for all students.",define intent uniIntent: for group('students') block traffic('all')
please block traffic for all students and limit bandwidth usage to 50 mbps for professors,"define intent uniIntent: for group('students'), group('professors') block traffic('all') set bandwidth('max', '50', 'mbps')"
student traffic 10GB 5GB per nothing,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/hr'), quota('download', '5', 'gb/hr')"
student traffic 10GB 5GB per dday,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/hr'), quota('download', '5', 'gb/hr')"
please block traffic for all students,define intent uniIntent: for group('students') block traffic('all')
please block traffic for all students.,define intent uniIntent: for group('students') block traffic('all')
please block traffic for all students.,define intent uniIntent: for group('students') block traffic('all')
Block F2movies to the labs for students,"define intent uniIntent: for endpoint('labs'), group('students') block service('F2movies')"
"Hey Lumi, please ban traffic for all students.","define intent uniIntent: for group('students'), traffic('all')"
block employee from social media,define intent uniIntent: for endpoint('network') block traffic('social-media') add middlebox('from')
Block network access for Alex,define intent uniIntent: for endpoint('network') block service('access')
Block network access for Alex,define intent uniIntent: for endpoint('network') block service('access')
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
block the traffic from the web,define intent uniIntent: for endpoint('network') 
block website F2movies for labs,define intent uniIntent: for endpoint('labs') block service('F2movies')
for students block traffic from website f2movies coming from labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
Inspect the traffic for the EmNets301,define intent uniIntent: for endpoint('network') add middlebox('dpi')
limit servers bandwith to 5mpbs from 4PM to 7PM,"define intent uniIntent: for endpoint('network') set quota('download', '5', 'mpbs') start hour('16:00') end hour('19:00')"
"""Hey Lumi, please block traffic for all students.""",define intent uniIntent: for group('students') block traffic('all')
Limit bandwidth usage to 50 mbps for professors.,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
Limit bandwidth usage to 50 mbps for professors to watch youtube.,"define intent uniIntent: for group('professors'), service('youtube') set bandwidth('max', '50', 'mbps')"
Limit bandwidth usage to 50 mbps for professors.,"define intent uniIntent: for group('professors') set bandwidth('max', '50', 'mbps')"
"Hey Lumi, please remove the firewall, the ips and from hall.","define intent uniIntent: for endpoint('hall') remove middlebox('firewall'), middlebox('ips')"
limit bandwidth usage to 500mbps for students,"define intent uniIntent: for group('students') set bandwidth('max', '500', 'mbps')"
Inspect traffic for the dorm,"define intent uniIntent: for endpoint('dorms'), traffic('all') add middlebox('dpi')"
Students can download up to per week of data,define intent uniIntent: for group('students')
"hey lumi, unblock youtube in the laboratory",define intent uniIntent: for endpoint('labs') allow service('youtube')
Inspect traffic for the dorm,"define intent uniIntent: for endpoint('dorms'), traffic('all') add middlebox('dpi')"
limit bandwidth usage to 50 mbps while make the maximum link ultilization lower than 0.8,"define intent uniIntent: for endpoint('network') set bandwidth('max', '50', 'mbps')"
limit bandwidth usage to 50 mbps while maintaining the maximum link ultilization lower than 0.8,"define intent uniIntent: for endpoint('network') set bandwidth('max', '50', 'mbps')"
limit the guests' bandwidth to 100Mbps,"define intent uniIntent: for endpoint('guests') set bandwidth('max', '100', 'mbps')"
"""Students can download up to 10 GB per week of data.""","define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
"for group('students'), endpoint('labs'), traffic('all')      set bandwidth('max', '5', 'mbps')","define intent uniIntent: for group('students'), traffic('all') set quota('download', '5', ''')"
"Hey Lumi, please block traffic for all students",define intent uniIntent: for group('students') block traffic('all')
block all traffic from labs to dorms,"define intent uniIntent: for endpoint('labs'), endpoint('dorms') block traffic('all')"
Please make traffic coming from the Internet pass through a firewall.,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Please make traffic coming from the Internet pass through a firewall,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
Please make traffic coming from the Internet pass through a firewall,define intent uniIntent: for endpoint('gateway') add middlebox('firewall')
"Hey, Lumi!   Inspect traffic for professors in the dorms","define intent uniIntent: for group('professors'), endpoint('dorms'), traffic('all') add middlebox('dpi')"
Battlenet is allowed by the University firewall,"define intent uniIntent: for endpoint('university'), service('Battlenet') add middlebox('firewall')"
please do not let any music streaming in the network,define intent uniIntent: for endpoint('network') block traffic('streaming')
Students can download up to 10 GB per week of data.,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
Block and enable traffic of host.,define intent uniIntent: for endpoint('hosts') block traffic('all')
Route traffic from s1 switch to a3 switch from 8am to 9pm,define intent uniIntent: for endpoint('network') start hour('08:00') end hour('21:00')
block traffic,define intent uniIntent: for endpoint('network') block traffic('all')
"Please, limit the internet channel to 40 gbps",define intent uniIntent: for endpoint('network')
